Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2020,3,5489866,977209,6467075
2020,4,452074,34557,486631
2020,5,843603,28311,871914
2020,6,1539090,59655,1598745
2020,7,2417946,151924,2569870
2020,8,3194715,225165,3419880
2020,9,3316398,238639,3555037
2020,10,3731065,331319,4062384
2020,11,3524604,380350,3904954
2020,12,3538798,522508,4061306
2020,TOTAL,48257878,6763850,55021728
2021,1,3485743,530159,4015902
2021,2,3523525,NA,NA
2021,3,5082019,NA,NA
2021,4,5388932,NA,NA
2021,TOTAL,17480219,530159,4015902
