CEO,Gender,Company,Ticker,Industry,Founder,Years.as.company.CEO,Years.with.company,Age,Total.2008.compensation,2008.Salary,2008.Bonus,2008.Other,2008.Stock.gains,5-year.compensation.total,Shares.owned.($.millions),6-year.average.compensation,6-year.annual.total.return,6-year.return.relative.to.industry,6-year.return.relative.to.market,Performance.vs.pay.rank,Total.return.during.tenure,Relative.to.market
Bruce A Smith,M,Tesoro,TSO,Oil & Gas Operations,No,14,16,66,18.59,1.3,0,11.21,6.08,86.23,17.7,15.1,28%,106,126,88,10%,105
J Willard Marriott Jr,M,Marriott International,MAR,"Hotels, Restaurants & Leisure",No,36,53,77,18.53,1.25,0.9,3.62,12.75,134.52,815.3,22.81,3%,97,102,154,8%,102
Christopher M Connor,M,Sherwin-Williams,SHW,Retailing,No,10,26,53,18.13,1.21,0,5.26,11.65,6056,25.4,10.64,15%,107,113,47,13%,116
Anthony J Alexander,M,FirstEnergy,FE,Utilities,No,5,37,57,18.03,1.33,2.31,7.06,7.33,48.15,10.6,NA,NA,NA,NA,NA,5%,108
Donald M James,M,Vulcan Materials,VMC,Construction,No,12,17,60,18,1.24,0,6.42,10.34,68.49,13.4,11.75,10%,103,108,96,9%,106
Steve Sanghi,M,Microchip Technology,MCHP,Semiconductors,No,16,19,53,17.83,0.53,0.76,0,16.54,73.54,100,15.39,6%,118,104,39,16%,110
Paul E Jacobs,M,Qualcomm,QCOM,Technology Hardware & Equipment,No,4,19,67,17.78,1.11,2.91,0.52,13.24,81.25,67.1,NA,NA,NA,NA,NA,7%,114
William C Weldon,M,Johnson & Johnson,JNJ,Drugs & Biotechnology,No,7,38,60,17.55,1.79,3.7,9.2,2.86,60.08,21.9,11.12,0%,96,99,152,0%,100
George Paz,M,Express Scripts,ESRX,Health Care Equipment & Services,No,4,11,54,16.79,0.94,2.45,1.62,11.78,43.64,11.6,NA,NA,NA,NA,NA,23%,130
Thomas F Farrell II,M,Dominion Resources,D,Utilities,No,3,14,54,16.68,1.19,6.74,4.17,4.59,38.98,21.2,NA,NA,NA,NA,NA,-3%,105
Ronald D Sugar,M,Northrop Grumman,NOC,Aerospace & Defense,No,6,9,60,16.6,1.51,3.09,11.99,0,47.79,15.8,NA,NA,NA,NA,NA,2%,100
James D Taiclet Jr,M,American Tower,AMT,Telecommunications Services,No,6,8,48,16.41,0.88,1.09,0.03,14.43,34.86,0.7,NA,NA,NA,NA,NA,24%,125
Hans Helmerich,M,Helmerich & Payne,HP,Oil & Gas Operations,No,20,20,50,16.01,0.6,1.11,0.12,14.18,33.96,18.7,5.75,16%,96,114,126,12%,103
Alexander M Cutler,M,Eaton,ETN,Capital Goods,No,9,34,57,15.99,1.13,0.32,5.5,9.04,81.51,29.4,14.79,5%,94,104,132,6%,111
